
== Client Refactored ==
Composite	FFT	SOR	Monte	Sparse	LU	
Composite	FFT	SOR	Monte	Sparse	LU	
207.54463075439526	134.08984607548044	403.1286852817934	15.527270612072453	229.87021528503058	255.10713651759949	
208.40375970255872	133.96625028226708	407.9074973192764	14.873418163070273	230.35502577518727	254.91660697299267	
208.7835356064288	134.21365043776407	408.4262472417088	15.477136653912664	230.59816968355932	255.2024740151991	
207.6054122045122	133.39252152831776	403.97379784175865	15.484278331110477	230.35502577518727	254.8214375461867	
209.10096557393072	134.4205196179129	408.94627688442154	15.534458641975332	230.92318053066194	255.68039219468193	
207.84285763229	134.04861887105687	403.97379784175865	14.506888251502021	231.00459100245058	255.68039219468193	
209.05086155570885	134.2963236272402	408.9463182682893	15.599456830756283	230.92318053066194	255.48902852159654	
208.10090324901813	134.04861887105687	404.143278069411	15.709004348496986	230.92319993037304	255.6804150257529	
209.07628747042108	134.29631376621882	408.7727865928465	15.694308615712297	230.84184680594265	255.77618157138525	
208.93319325441007	134.3376934940918	408.7727865928465	15.520087519607554	230.35500647082262	255.68039219468193	

== Server Unmodified ==
Composite	FFT	SOR	Monte	Sparse	LU	
900.756169598992	618.0866844419932	909.3700076256177	345.6992409730622	742.1970418654106	1888.4278730888761	
889.4615119395903	608.809994483049	900.4462212801084	343.92755644326945	740.310619992646	1853.813167498879	
895.9548122037274	619.623660584316	909.7994320813091	345.6992409730622	741.9869815060604	1862.6647458738896	
893.5543425815786	614.3855752740163	909.3699053081638	335.33472100861445	742.1970418654106	1866.4844694516878	
895.136613823934	617.2118383949385	909.3700076256177	345.6992409730622	740.101625935256	1863.300356190796	
897.5835290934203	617.4303046225234	909.3700076256177	346.25662675395427	742.6175697582037	1872.243136706802	
900.0089710457169	616.5573143697347	909.3700076256177	345.5879843914859	740.1016757528696	1888.4278730888761	
893.9753887879709	620.7261663792119	909.7993296671991	335.3347459773934	741.9869815060604	1862.0297204099897	
894.070153390325	619.183722648584	909.3700076256177	335.2300346492602	741.3575132509089	1865.209488777254	
895.2475369654774	614.8187189530222	909.3700076256177	345.6992409730622	741.776989974344	1864.5727273013404	
